Downloaded from wid.world on 05-02-2026 at 15:53:12
Percentile ;Year ;"ahweal_999_j_DE
Net personal wealth
P99.99-100 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Germany";"ahweal_999_j_US
Net personal wealth
P99.99-100 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
USA";"ahweal_999_j_JP
Net personal wealth
P99.99-100 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Japan";"ahweal_999_j_CN
Net personal wealth
P99.99-100 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
China";"ahweal_999_i_DE
Net personal wealth
P99.99-100 | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Germany";"ahweal_999_i_US
Net personal wealth
P99.99-100 | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
USA";"ahweal_999_i_JP
Net personal wealth
P99.99-100 | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Japan";"ahweal_999_i_CN
Net personal wealth
P99.99-100 | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
China"
p99.99p100;1990;71895550.7;83722705.2;11182794021.0;4818022.7;;113626826.1;;
p99.99p100;1991;66441437.1;82795103.2;10157965144.6;5194983.9;;109490373.9;;
p99.99p100;1992;69104172.10000001;88484617.5;8137030923.700001;5970523.100000001;;121578728.2;;
p99.99p100;1993;62116710.8;83900896.80000001;7377235249.200001;7132987.600000001;;123941927.0;;
p99.99p100;1994;66813692.1;91506302.9;7395394026.900001;7836105.0;;124941502.0;;
p99.99p100;1995;74813213.4;98988512.80000001;7467817362.5;9288256.5;;133846218.1;;
p99.99p100;1996;78961002.9;105786739.9;8090049035.1;10038001.5;;153917208.5;;
p99.99p100;1997;86014540.4;121859598.7;7448372153.1;12318102.3;;178353518.6;;
p99.99p100;1998;96627440.80000001;142233729.6;7526656113.700001;14410580.4;;206864048.3;;
p99.99p100;1999;124793936.0;165174052.3;8132472249.3;17374733.8;;239151692.3;;
p99.99p100;2000;130126828.1;186128892.4;8786765306.4;19960127.4;;267850409.0;;
p99.99p100;2001;131137481.1;178189577.1;8458194796.5;21437835.2;;245752458.5;;
p99.99p100;2002;137207971.1;162194754.6;8323481346.8;24739111.6;;224117722.0;;
p99.99p100;2003;145224243.0;160512643.9;8530222457.0;30125298.0;;228926174.7;;
p99.99p100;2004;158354865.2;182762972.3;8785631038.5;37957624.4;;253459403.4;;
p99.99p100;2005;166956730.9;197767932.0;9030798569.6;35148160.6;;278906108.2;;
p99.99p100;2006;172333248.5;210475642.4;9381867287.7;54702929.90000001;;296074439.0;;
p99.99p100;2007;185425145.6;223018460.1;9540693545.0;75419464.8;;312493284.1;;
p99.99p100;2008;193834695.6;222339083.7;9109152806.800001;69601893.8;;311915455.2;;
p99.99p100;2009;169659652.6;185476610.8;8661837207.7;89176274.0;;263052088.3;;
p99.99p100;2010;165374184.9;201209347.7;9004928576.2;125444373.9;;282294390.8;;
p99.99p100;2011;161904088.0;212881283.8;8964451387.7;159925191.7;;295418671.5;;
p99.99p100;2012;155888147.4;232420285.9;9092127650.4;146594966.6;;325650164.1;;
p99.99p100;2013;160633043.3;258104832.2;9414164718.7;158721932.5;;358617769.5;;
p99.99p100;2014;172882552.2;281260612.6;9540358736.1;190579351.9;;387672902.5;;
p99.99p100;2015;173486995.7;289817099.7;9533429948.5;269838469.9;;396277425.0;;
p99.99p100;2016;175075261.4;291848449.9;9567732965.1;304866046.3;;398745672.9;;
p99.99p100;2017;170699141.4;306053725.9;9751260007.9;337147459.9;;418610826.0;;
p99.99p100;2018;179694172.1;299956918.3;9860345213.300001;353278260.1;;409513107.0;;
p99.99p100;2019;173847130.3;298931015.0;9878794366.800001;386601504.0;;410319242.4;;
p99.99p100;2020;169759103.1;348376979.0;9989323949.9;430763013.9;;;;
p99.99p100;2021;192877498.6;417973576.4;10591806889.4;487765882.3;;;;
p99.99p100;2022;190410593.1;382226166.7;10538464331.6;470915801.8;;;;
p99.99p100;2023;180658015.6;371193577.1;10806002582.7;495224607.4;;;;
p99.99p100;2024;186020381.8;377529495.6;11422326404.2;519731930.6;;;;
