Downloaded from wid.world on 05-02-2026 at 15:55:39
Percentile ;Year ;"ahweal_999_j_DE
Net personal wealth
P99.999-100 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Germany";"ahweal_999_j_US
Net personal wealth
P99.999-100 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
USA";"ahweal_999_j_JP
Net personal wealth
P99.999-100 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Japan";"ahweal_999_j_CN
Net personal wealth
P99.999-100 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
China"
p99.999p100;1990;417117454.2;418244930.6;68993286248.40001;22139418.4
p99.999p100;1991;376095370.6;415494032.9;59748668958.60001;24187190.5
p99.999p100;1992;405959986.4;430293734.5;43975785413.5;27712782.7
p99.999p100;1993;377749801.0;380167499.0;37064208924.8;32741872.1
p99.999p100;1994;386431934.9;448052610.7;36719631726.9;36954504.6
p99.999p100;1995;425053714.3;494355846.5;35381407290.3;44651310.0
p99.999p100;1996;434118997.0;512206327.5;40741753222.4;44712842.0
p99.999p100;1997;406201796.7;596467059.7;34477694432.7;54042949.6
p99.999p100;1998;381410385.4;692188941.8000001;34934638579.2;62497167.3
p99.999p100;1999;606031866.9;837311715.4000001;39890193310.8;74670749.0
p99.999p100;2000;580784309.0;998191982.7;45183333385.5;85154872.9
p99.999p100;2001;522860752.2;927031978.0;41522729557.4;90907744.60000001
p99.999p100;2002;518720946.9;826913970.7;39662156635.5;104376320.6
p99.999p100;2003;515391269.1;802896936.9000001;40900633739.1;129149380.6
p99.999p100;2004;621487649.4;904051998.0;42460162779.60001;158681821.0
p99.999p100;2005;648136121.7;954328492.5;43759867647.4;148809100.6
p99.999p100;2006;650622814.8000001;995568294.1;45556540126.5;247403820.9
p99.999p100;2007;697571048.5;1092057486.5;46411065828.2;410632630.9
p99.999p100;2008;745717737.5;1176957677.0;43927477892.60001;369939953.0
p99.999p100;2009;584099483.0;978345369.6;41378319325.5;467820972.2
p99.999p100;2010;614992171.3000001;1012724992.6;43284489061.4;694399922.3000001
p99.999p100;2011;646145344.8000001;1098731933.2;43036157188.3;808489134.3000001
p99.999p100;2012;637481337.0;1172857778.6;43682114473.60001;716975247.1
p99.999p100;2013;704322681.1;1426232389.8;45284227901.4;790035737.8000001
p99.999p100;2014;879631828.7;1558874200.1;45880792388.3;943673614.6
p99.999p100;2015;934509203.2;1571963442.1;45878844469.4;1416354269.6
p99.999p100;2016;986508147.3000001;1593334226.4;46024673256.10001;1600363978.5
p99.999p100;2017;969463969.6;1684690028.6;46880806512.4;1787096973.2
p99.999p100;2018;1098577114.7;1605099212.7;47414247283.7;1868126096.7
p99.999p100;2019;995092163.2;1563784431.5;47501157373.10001;2041107053.8
p99.999p100;2020;907953340.4000001;1828636919.7;48030806603.8;2290538383.5
p99.999p100;2021;1105549210.4;2190313645.6;52089593894.60001;2688436440.1
p99.999p100;2022;1063937274.0;1995041155.5;50667344191.7;2509485955.0
p99.999p100;2023;987302092.0;1934225503.1;51963488437.5;2639206067.9
p99.999p100;2024;1038578454.1;1967164594.0;57170353818.8;2769718928.2
