year;Munich (Altstadt - Maxvorstadt);Berlin (Wedding - Gesundbrunnen);Munich (Aubing - Laim - Pasing);Berlin (Charlottenburg)
1990;74,22;87,92;89,74;78,5
1991;81,82;107,8;96,03;105,23
1992;90,21;120,68;102,76;113,62
1993;99,46;120,65;109,97;117
1994;100,67;117,24;110,43;116,97
1995;98,41;108,2;104,45;108,11
1996;93,03;105,64;98,82;97,97
1997;94,01;105,6;98,35;110,21
1998;92,13;103,73;95,49;106,98
1999;95,95;98,95;97,42;96,32
2000;100;100;100;100
2001;102,04;100,31;96,99;91,45
2002;105,28;102,01;100,05;89,08
2003;106,58;98,41;98,09;81,66
2004;102,82;90;95,79;80,66
2005;104,91;81,25;94,17;83,37
2006;106,82;89,3;92,04;83,92
2007;109,83;93,82;93,95;94,77
2008;112,54;100,98;94,67;98,93
2009;125,07;100,47;98,24;93,18
2010;145,88;96,19;103,47;99,39
2011;163,96;107,89;117,72;111,94
2012;187,1;121,55;133,13;124,43
2013;202,52;131,27;147,79;140,35
2014;223,21;140,56;163,38;150,37
2015;237,15;159,61;178,41;163,71
2016;271,84;183,58;204,31;190,98
2017;322,41;206,85;222,75;216,96
2018;336,15;235,63;240,02;233,81
2019;366,64;257,59;256,83;253,22
2020;395,97;272,29;274,64;274,13
2021;442,76;306,94;305,41;305,71
2022;440,54;330,72;322,18;340,95
2023;392,21;318,17;278,44;329,35
2024;368,74;323,53;275,26;319,71
