Downloaded from wid.world on 05-02-2026 at 15:38:00
Percentile ;Year ;"ahweal_999_j_DE
Net personal wealth
P99.9-100 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Germany";"ahweal_999_j_US
Net personal wealth
P99.9-100 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
USA";"ahweal_999_j_JP
Net personal wealth
P99.9-100 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Japan";"ahweal_999_j_CN
Net personal wealth
P99.9-100 | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
China";"ahweal_999_i_DE
Net personal wealth
P99.9-100 | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Germany";"ahweal_999_i_US
Net personal wealth
P99.9-100 | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
USA";"ahweal_999_i_JP
Net personal wealth
P99.9-100 | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Japan";"ahweal_999_i_CN
Net personal wealth
P99.9-100 | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
China"
p99.9p100;1990;12702580.2;18340452.3;2135212890.8;1004633.5;;26514999.9;;
p99.9p100;1991;12642803.2;18124585.4;2011710505.2;1076899.7;;25710721.7;;
p99.9p100;1992;13658982.6;19429013.7;1717642959.0;1239377.2;;27920308.0;;
p99.9p100;1993;12765047.8;19054966.4;1621937487.9;1488045.1;;28158736.0;;
p99.9p100;1994;12467852.9;19986235.8;1634616436.8;1614945.6;;28495031.0;;
p99.9p100;1995;12447525.7;21135807.0;1688755033.3;1897183.3;;29987108.0;;
p99.9p100;1996;11926024.8;22675816.9;1768797095.7;2166401.1;;33148670.1;;
p99.9p100;1997;12362411.2;25648317.4;1701659482.7;2714562.4;;37461837.3;;
p99.9p100;1998;13185199.8;29717464.0;1715887543.7;3224955.1;;43179602.90000001;;
p99.9p100;1999;16115005.3;33419174.3;1800570423.7;3934561.6;;48366694.40000001;;
p99.9p100;2000;16837385.6;36001817.9;1893299717.3;4562580.8;;51826044.8;;
p99.9p100;2001;17019039.1;35233422.0;1865804047.2;4937779.7;;49661220.8;;
p99.9p100;2002;17633506.7;32720538.5;1858154385.6;5734167.4;;46112641.2;;
p99.9p100;2003;18459849.9;32693877.9;1894726745.5;6721915.100000001;;46662894.1;;
p99.9p100;2004;19737611.9;37266437.2;1938862533.9;8516837.3;;52516528.1;;
p99.9p100;2005;20686740.8;40909119.2;1988666878.2;9103857.8;;58106093.1;;
p99.9p100;2006;21288911.7;43808465.40000001;2062404734.7;12618114.4;;61991901.7;;
p99.9p100;2007;22743156.5;45442164.6;2094210903.5;16150664.2;;64183335.90000001;;
p99.9p100;2008;23591503.6;42701415.8;2013870314.0;16215723.0;;60356567.7;;
p99.9p100;2009;21508926.4;36169422.6;1929755862.2;20084740.4;;51315877.40000001;;
p99.9p100;2010;21519332.3;39821116.0;1996107493.8;23652226.4;;56035486.6;;
p99.9p100;2011;21726998.3;41556765.0;1989160585.5;24370529.5;;58055015.6;;
p99.9p100;2012;21905618.4;45081798.2;2016246917.8;23934729.2;;62858238.6;;
p99.9p100;2013;23580581.1;47582625.2;2085593523.3;25881486.7;;66027772.3;;
p99.9p100;2014;25500335.4;51748704.5;2113943560.4;30508374.8;;71221244.7;;
p99.9p100;2015;26442530.1;53853871.1;2111227791.7;40274928.90000001;;73497988.2;;
p99.9p100;2016;27832006.1;54230663.0;2119548698.1;45500588.8;;73992329.0;;
p99.9p100;2017;29054641.3;56921889.8;2161210851.4;50049025.0;;77760826.60000001;;
p99.9p100;2018;31773991.1;56906062.3;2185049287.5;52513200.0;;77653427.5;;
p99.9p100;2019;32075026.1;57847097.2;2189205331.9;57516889.6;;79246853.7;;
p99.9p100;2020;32580845.9;66684999.6;2213768083.5;63834110.6;;;;
p99.9p100;2021;35557708.8;78523073.9;2319961941.2;71287388.3;;;;
p99.9p100;2022;35632244.9;72320614.9;2335609829.3;69700102.60000001;;;;
p99.9p100;2023;34244202.8;70326398.8;2394532399.7;73295263.4;;;;
p99.9p100;2024;34826536.5;71529005.5;2478679480.8;76923909.0;;;;
