"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.1152781290657","72.0954632784191","71.9560481150461","72.0650473572795","72.5158641548006","72.7982514080091","72.9406610722332","72.8402355070964","72.6699008530788","72.5838567570499","72.5511997635518","72.5278302838041","72.5265647724945","72.5632414212174","72.6046780296574","72.5168796668513","72.3700329738658","72.195692625705","71.7424494665539","71.1566563469713","71.3544882110576","70.933479732962","71.5887553962589","70.8363589252428","70.5288225063577","70.0369270987075","69.4104479253138","69.0903129006813","68.6832507691003","67.3546715935155","67.264320414435","67.9997850736717","69.1961192255997","69.1798558002656","69.0853852458738",
"Afghanistan","AFG","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.034","74.065","74.079","74.057","74.044","74.01","74.014","74.025","74.033","74.006","73.91","73.924","73.852","73.785","73.605","73.459","73.342","73.119","72.955","72.723","72.483","72.238","71.429","70.63","68.996","67.384","65.794","64.095","62.427","59.771","59.542","60.977","60.906","61.014","61.038",
"Africa Western and Central","AFW","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.0760109740782","80.2040276965171","80.2178541058178","80.2925438458122","80.2749713567197","80.1660169577483","80.0359819085562","79.9004702116487","79.5692638912885","79.2388634842911","79.0945857319042","78.9487532116415","78.8025887405489","78.6535351196752","78.4242959096117","78.2581720003059","78.008956160398","77.6973697161032","77.4588547962578","77.1254567340732","76.9924932841674","76.6653239913651","76.5547384715757","76.0818146350055","75.6234771196382","75.6671927088218","75.1276424186916","74.9965760115354","74.8473267150231","73.5473680260909","74.2979343067341","76.0154134741572","75.5081727780662","75.3765152248935","75.1868925707271",
"Angola","AGO","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.44","67.445","67.199","67.284","67.661","68.237","68.294","68.093","67.869","67.745","67.671","67.782","67.713","67.751","67.72","67.812","67.832","67.766","67.609","67.465","68.099","67.797","67.38","66.975","66.423","65.867","65.348","64.872","64.466","62.744","65.772","65.942","66.902","66.869","66.653",
"Albania","ALB","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.589","53.168","56.486","59.34","63.684","63.072","61.844","59.196","57.485","58.22","58.31","58.417","57.783","56.925","55.835","54.689","53.076","53.581","56.613","55.792","58.659","55.703","50.561","50.71","53.174","54.558","57.094","59.002","60.126","59.136","59.571","61.088","62.767","62.801","62.698",
"Andorra","AND","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.8006039421152","66.3042921538395","66.305987677095","66.3689868478121","65.7127962378052","66.0676114562911","66.2896628583843","65.9602320177453","66.0522181527406","65.1746931360222","64.304663263123","63.6903051821937","63.6966517291424","64.7015144895752","64.876418474737","65.5212249044872","65.5633705974242","65.9046290249355","66.4022430026485","67.0921758065651","66.1507780812816","65.496206513825","65.4346907276943","65.3187946706475","64.3843366034648","64.4582208667681","63.5819896003295","63.7514775071861","64.1677797903154","61.6958990619669","62.1162495909862","63.9914619688123","65.3701657038821","65.358789639045","65.2000093842076",
"United Arab Emirates","ARE","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.557","88.785","89.162","89.738","90.322","90.111","89.219","88.445","87.928","87.666","87.632","87.798","88.101","88.696","89.269","89.796","89.851","89.596","88.955","89.244","89.834","90.287","90.589","90.782","91.025","91.422","90.954","91.348","90.39","85.469","88.241","87.925","90.017","90.179","90.1",
"Argentina","ARG","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.281","71.61","69.885","68.368","62.93","63.53","65.914","66.788","65.095","64.302","61.323","58.373","63.648","65.739","67.125","68.246","68.764","68.659","67.676","68.413","69.344","68.788","68.381","67.331","66.62","65.776","65.102","64.656","64.449","58.819","65.23","67.062","67.886","67.049","67.079",
"Armenia","ARM","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.305","74.009","71.926","70.357","70.709","69.524","68.396","67.745","66.079","65.647","65.136","64.54","63.979","63.472","63.046","62.73","62.584","59.189","58.301","58.884","58.8","59.403","60.835","60.023","58.867","58.728","58.381","58.381","56.672","56.487","59.305","60.214","62.068","61.829","61.124",
"American Samoa","ASM","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.393","65.874","65.211","66.387","67.478","67.287","66.857","67.039","67.281","67.56","66.973","67.223","67.44","67.839","68.671","68.953","69.675","69.821","68.248","68.765","68.717","68.123","67.392","66.778","66.878","66.703","66.88","67.374","67.612","65.566","67.266","68.696","68.923","68.048","67.767",
"Austria","AUT","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.628","67.716","67.115","68.109","67.333","65.82","65.411","65.194","65.855","65.473","65.084","64.521","64.449","62.037","62.206","62.787","63.951","64.284","63.045","63.188","63.228","63.06","62.801","62.038","61.854","62.023","62.29","63.274","63.43","62.223","61.858","62.9","62.509","62.139","61.53",
"Azerbaijan","AZE","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.029","77.174","78.397","79.884","80.872","80.077","78.64","76.808","75.243","73.275","71.43","69.296","68.262","66.564","65.541","64.228","63.134","61.797","61.128","59.398","60.419","61.521","62.183","63.004","63.614","64.815","65.393","65.674","65.369","66.044","63.055","64.378","63.953","63.472","62.948",
"Burundi","BDI","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.548","84.992","84.245","83.445","82.841","81.989","81.012","80.051","79.364","78.641","77.93","77.239","76.605","75.955","75.35","74.707","75.275","75.853","75.869","75.903","75.838","75.802","75.804","75.793","76.727","77.501","77.89","77.943","77.661","77.682","76.718","77.131","76.793","76.428","76.17",
