Downloaded from wid.world on 05-02-2026 at 13:16:33
Percentile ;Year ;"ahweal_999_j_DE
Net personal wealth
Top 1% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Germany";"ahweal_999_j_US
Net personal wealth
Top 1% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
USA";"ahweal_999_j_JP
Net personal wealth
Top 1% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Japan";"ahweal_999_j_DK
Net personal wealth
Top 1% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Denmark";"ahweal_999_i_DE
Net personal wealth
Top 1% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Germany";"ahweal_999_i_US
Net personal wealth
Top 1% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
USA";"ahweal_999_i_JP
Net personal wealth
Top 1% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Japan";"ahweal_999_i_DK
Net personal wealth
Top 1% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Denmark"
p99p100;1990;2405501.9;4216600.2;485883412.5;11075692.4;;6266869.100000001;;
p99p100;1991;2597638.3;4193434.4;469000477.2;11836681.7;;6140625.300000001;;
p99p100;1992;2982078.6;4434746.8;419705302.6;11356315.8;;6503283.2;;
p99p100;1993;2965535.6;4446891.3;403699108.0;13198150.6;;6571798.9;;
p99p100;1994;2953929.7;4558725.9;407319566.0;13388391.7;;6629677.300000001;;
p99p100;1995;2919502.0;4722908.100000001;424572532.7;12977545.6;;6853671.7;;
p99p100;1996;2742646.6;5066259.800000001;436385898.8;14335957.5;;7424344.600000001;;
p99p100;1997;2884102.4;5586799.100000001;429118569.3;17340183.5;;8152392.7;;
p99p100;1998;3075146.9;6344823.100000001;431760201.1;19261520.4;;9213130.8;;
p99p100;1999;3357141.1;6998238.4;445900413.2;22955428.1;;10125699.8;;
p99p100;2000;3442178.7;7318049.2;461568687.3;23774580.3;;10536088.4;;
p99p100;2001;3411308.8;7164341.4;458847339.3;20328763.7;;10216069.6;;
p99p100;2002;3382810.0;6817566.9;456992653.9;18848064.3;;9703954.700000001;;
p99p100;2003;3377963.9;6878098.5;463268215.0;18992323.2;;9822176.700000001;;
p99p100;2004;3532266.0;7703268.600000001;470412256.6;22425596.1;;10939010.6;;
p99p100;2005;3698336.2;8465593.8;481228320.3;28903977.5;;12066011.8;;
p99p100;2006;3827025.8;8971387.8;498011787.6;33727982.1;;12730895.3;;
p99p100;2007;4058179.9;9220860.6;504763807.5;35089935.8;;13074145.5;;
p99p100;2008;4194259.4;8399940.4;489669804.2;27885945.1;;11924076.3;;
p99p100;2009;4005339.4;7373687.2;473490357.4;28920430.1;;10465147.1;;
p99p100;2010;4041611.4;7924750.0;486887155.3;29975509.2;;11169803.0;;
p99p100;2011;4091659.8;8171548.5;485777777.2;27805761.6;;11457752.8;;
p99p100;2012;4167438.0;8679183.4;492033819.3;28101034.1;;12086431.7;;
p99p100;2013;4429207.0;9122697.6;508358731.8;29654713.7;;12649612.1;;
p99p100;2014;4781673.600000001;9893519.3;515383058.3;32559486.2;;13605956.6;;
p99p100;2015;5060423.5;10268045.6;514378707.1;35978606.4;;13997256.2;;
p99p100;2016;5437890.0;10399450.4;516616184.7;37750039.4;;14180987.0;;
p99p100;2017;5857270.600000001;10998481.4;527062065.1;39709777.0;;15016547.4;;
p99p100;2018;6402391.100000001;11109082.0;532777626.1;40522550.5;;15155071.6;;
p99p100;2019;6638058.300000001;11466892.5;533810673.5;40818757.5;;15691746.3;;
p99p100;2020;6902388.4;12972932.8;539819840.3000001;43234410.8;;;;
p99p100;2021;7355801.2;14662382.7;562434008.7;48668758.90000001;;;;
p99p100;2022;7433693.600000001;13657182.5;569572423.5;45473617.8;;;;
p99p100;2023;7198506.5;13304261.2;583834119.9;44114900.90000001;;;;
p99p100;2024;7267408.5;13532326.7;598201667.9;46539227.0;;;;
